,Formula,State,Molar Mass,deltaH0,deltaG0,S0,Cp,Charge
449,B5H9,l,63.1270,42.68,171.82,184.22,151.13,0.0
450,B5H9,g,63.1270,73.2,175.0,275.92,96.78,0.0
451,B10H14,cr,122.2220,-45.2,192.3,176.56,217.94,0.0
452,B10H14,g,122.2220,31.55,216.34,353.2,179.66,0.0
453,HBO2,g,43.8178,-561.9,-551.0,240.06,42.22,0.0
454,H3BO3,cr,61.8332,-1094.33,-968.92,88.83,81.38,0.0
455,BF,g,29.8094,-122.2,-149.8,200.48,29.58,0.0
456,BF3,g,67.8062,-1137.00,-1120.33,254.12,50.46,0.0
457,B2F4,g,97.6156,-1440.1,-1410.4,317.3,79.08,0.0
458,BCl,g,46.2640,149.49,120.90,213.24,31.67,0.0
459,BCl3,l,117.1700,-427.2,-387.4,206.3,106.7,0.0
460,BCl3,g,117.1700,-403.76,-388.72,290.10,62.72,0.0
461,B2Cl4,l,163.4340,-523.0,-464.8,262.3,137.7,0.0
462,B2Cl4,g,163.4340,-490.4,-460.6,357.4,95.40,0.0
463,BBr,g,90.7200,238.1,195.4,225.00,32.93,0.0
464,BBr3,g,250.5380,-205.64,-232.50,324.24,67.78,0.0
465,BI3,g,391.5242,71.13,20.72,349.18,70.79,0.0
466,BS,g,42.8750,342.00,288.75,216.21,30.04,0.0
467,BN,cr,24.8177,-254.4,-228.4,14.81,19.71,0.0
468,BN,g,24.8177,647.47,614.49,212.28,29.46,0.0
469,B3N3H6,g,80.5011,-511.75,-390.00,288.68,96.82,0.0
470,B4C,cr,55.2552,-71.,-71.,27.11,52.80,0.0
471,B(CH3)3,g,55.9166,-124.3,-35.9,314.7,88.49,0.0
472,B(C2H5)3,l,97.9982,-194.6,9.4,336.69,241.21,0.0
473,BH3CO,g,41.8456,-111.21,-92.9,249.35,59.45,0.0
474,BH(OCH3)2,g,73.8882,-579.5,-473.5,324.0,87.91,0.0
475,B(OCH3)3,l,103.9148,-933.9,-744.6,283.7,192.00,0.0
476,(CH3)3N·BH3,g,72.9473,-84.9,87.2,324.8,127.95,0.0
477,Al,cr,26.9815,0,0,28.33,24.35,0.0
478,Al,g,26.9815,326.4,285.7,164.54,21.38,0.0
479,Al2,g,53.9630,485.93,433.30,233.2,36.4,0.0
480,AlO,g,42.9809,91.2,65.3,218.39,30.88,0.0
481,Al2O,g,69.9624,-130.,-159.,259.35,45.69,0.0
482,Al2O3,cr,101.9612,-1675.7,-1582.3,50.92,79.04,0.0
483,Al2O3·H2O,cr,119.9766,-1980.7,-1831.7,96.86,131.25,0.0
484,Al2O3·H2O,cr2,119.9766,-1998.91,-1841.78,70.67,106.19,0.0
485,Al2O3·3H2O,cr,156.0074,-2586.67,-2310.21,136.90,183.47,0.0
486,AlH,g,27.9895,259.24,231.15,187.89,29.37,0.0
487,AlF,g,45.9799,-258.2,-283.7,215.00,31.92,0.0
488,AlF3,cr,83.9767,-1504.1,-1425.0,66.44,75.10,0.0
489,AlF3,g,83.9767,-1204.6,-1188.2,277.1,62.63,0.0
490,AlCl,g,62.4345,-47.7,-74.1,228.14,34.98,0.0
491,AlCl3,cr,133.3405,-704.2,-628.8,110.67,91.84,0.0
492,AlCl3·6H2O,cr,241.4329,-2691.6,-2261.1,318.0,296.2,0.0
493,AlBr,g,106.8905,-4.,-42.,239.52,35.56,0.0
494,AlI3,cr,407.6947,-313.8,-300.8,159.,98.7,0.0
495,AlS,g,59.0455,200.92,150.09,230.61,33.39,0.0
496,Al2(SO4)3,cr,342.1478,-3440.84,-3099.94,239.3,259.41,0.0
497,Al2(SO4)3·6H2O,cr,450.2402,-5311.71,-4622.08,469.0,492.9,0.0
498,AlN,cr,40.9882,-318.0,-287.0,20.17,30.12,0.0
499,Al(NO3)3·6H2O,cr,321.0886,-2850.48,-2203.39,467.8,433.0,0.0
500,NH4Al(SO4)2,cr,237.1434,-2352.2,-2038.2,216.3,226.44,0.0
501,NH4Al(SO4)2·12H2O,cr,453.3282,-5942.37,-4937.20,697.1,683.2,0.0
502,(NH4)2O·3Al2O3·4SO3·6H2O,cr,786.3016,-10078.0,-8891.4,687.0,775.3,0.0
503,AlPO4,cr,121.9529,-1733.8,-1617.9,90.79,93.18,0.0
504,H6(NH4)3Al5(PO4)8·18H2O,cr,1279.1200,-18547.7,-16164.8,1422.1,1592.0,0.0
505,Al4C3,cr,143.9596,-208.8,-196.2,88.95,116.78,0.0
506,Al(CH3)3,l,72.0871,-136.4,-9.9,209.41,155.60,0.0
507,Al2SiO5,cr,162.0460,-2590.27,-2442.66,93.22,122.72,0.0
508,Al2SiO5,cr2,162.0460,-2594.29,-2443.88,83.81,121.71,0.0
509,Al2SiO5,cr3,162.0460,-2587.76,-2440.99,96.11,124.52,0.0
510,Al2Si2O7·2H2O,cr,258.1616,-4119.6,-3799.7,205.0,246.14,0.0
511,Al2Si2O7·2H2O,cr2,258.1616,-4101.2,-3780.5,203.3,246.27,0.0
512,Al2Si2O7·2H2O,cr3,258.1616,-4118.3,-3795.9,197.1,239.49,0.0
513,Al6Si2O13,cr,426.0532,-6816.2,-6432.7,255.,326.10,0.0
514,Al2Si4O10(OH)2,cr,360.3158,-5642.04,-5268.14,239.41,294.34,0.0
515,Al(BH4)3,l,71.5105,-16.3,145.0,289.1,194.6,0.0
516,Ga,cr,69.7200,0,0,40.88,25.86,0.0
517,Ga,g,69.7200,277.0,238.9,169.06,25.36,0.0
518,GaO,g,85.7194,279.5,253.5,231.1,32.05,0.0
519,Ga2O3,cr,187.4382,-1089.1,-998.3,84.98,92.05,0.0
520,GaH,g,70.7280,220.5,193.7,195.46,29.29,0.0
521,GaCl,g,105.1730,-79.9,-106.3,240.3,35.56,0.0
522,GaBr,g,149.6290,-49.8,-90.0,252.0,36.40,0.0
523,GaAs,cr,144.6416,-71.,-67.8,64.18,46.23,0.0
524,GaSb,cr,191.4700,-41.8,-38.9,76.07,48.53,0.0
525,In,cr,114.8200,0,0,57.82,26.74,0.0
526,In,g,114.8200,243.30,208.71,173.79,20.84,0.0
527,InO,g,130.8194,387.0,364.4,236.5,32.55,0.0
528,In2O3,cr,277.6382,-925.79,-830.68,104.2,92.,0.0
529,InH,g,115.8280,215.5,190.31,207.64,29.58,0.0
530,InBr,g,194.7290,-56.9,-94.34,259.48,36.65,0.0
531,InI,g,241.7244,7.5,-37.7,267.34,36.82,0.0
532,In2S3,cr,325.8320,-427.,-412.5,163.6,117.99,0.0
533,In2(SO4)3,cr,517.8248,-2787.,-2439.,272.,280.,0.0
534,InP,cr,145.7938,-88.7,-77.0,59.8,45.44,0.0
535,InAs,cr,189.7416,-58.6,-53.6,75.7,47.78,0.0
536,InSb,cr,236.5700,-30.5,-25.5,86.2,49.45,0.0
537,Tl,cr,204.3700,0,0,64.18,26.32,0.0
538,Tl,g,204.3700,182.21,147.41,180.963,20.786,0.0
539,TlCl,cr,239.8230,-204.14,-184.92,111.25,50.92,0.0
540,TlNO3,cr,266.3749,-243.93,-152.40,160.7,99.50,0.0
541,Zn,cr,65.3700,0,0,41.63,25.40,0.0
542,Zn,g,65.3700,130.729,95.145,160.984,20.786,0.0
543,Zn<sup>2+</sup>,ao,65.3700,-153.89,-147.06,-112.1,46.,2.0
544,ZnO,cr,81.3694,-348.28,-318.30,43.64,40.25,0.0
545,Zn(OH)2,cr3,99.3848,-643.25,-555.07,81.6,72.4,0.0
546,Zn(OH)2,ai,99.3848,-613.88,-461.56,-133.5,-251.,0.0
547,ZnF2,cr,103.3668,-764.4,-713.3,73.68,65.65,0.0
548,ZnF2,ai,103.3668,-819.14,-704.64,-139.7,-167.,0.0
549,ZnCl2,cr,136.2760,-415.05,-369.398,111.46,71.34,0.0
550,ZnCl2,ai,136.2760,-488.19,-409.50,0.8,-226.,0.0
551,ZnBr2,ai,225.1880,-396.98,-354.97,52.7,-238.,0.0
552,ZnI2,ai,319.1788,-264.26,-250.20,110.5,-238.,0.0
553,ZnS,cr2,97.4340,-205.98,-201.29,57.7,46.0,0.0
554,ZnSO4,cr,161.4316,-982.8,-871.5,110.5,99.2,0.0
555,ZnSO4,ai,161.4316,-1063.15,-891.59,-92.0,-247.,0.0
556,ZnSO4·6H2O,cr,269.5240,-2777.46,-2324.44,363.6,357.69,0.0
557,ZnSO4·7H2O,cr,287.5394,-3077.75,-2562.67,388.7,383.42,0.0
558,Zn(NO3)2,ai,189.3798,-568.61,-369.57,180.7,-126.,0.0
559,Zn(NO3)2·6H2O,cr,297.4722,-2306.64,-1772.71,456.9,323.0,0.0
560,ZnCO3,cr,125.3794,-812.78,-731.52,82.4,79.71,0.0
561,Zn2SiO4,cr,222.8236,-1636.74,-1523.16,131.4,123.34,0.0
562,Cd,cr,112.4000,0,0,51.76,25.98,0.0
563,Cd,g,112.4000,112.01,77.41,167.746,20.786,0.0
564,CdO,cr,128.3994,-258.2,-228.4,54.8,43.43,0.0
565,CdCl2,cr,183.3060,-391.50,-343.93,115.27,74.68,0.0
566,CdBr2,cr,272.2180,-316.18,-296.31,137.2,76.65,0.0
567,CdI2,cr,366.2088,-203.3,-201.38,161.1,79.96,0.0
568,CdSO4,cr,208.4616,-933.28,-822.72,123.039,99.58,0.0
569,CdSO4·H2O,cr,226.4770,-1239.55,-1068.73,154.030,134.56,0.0
570,CdSO4·8/3H2O,cr,256.5026,-1729.4,-1465.141,229.630,213.26,0.0
571,Cd(CH3)2,l,142.4704,63.6,139.0,201.88,132.01,0.0
572,CdSiO3,cr,188.4842,-1189.09,-1105.36,97.5,88.58,0.0
573,Hg,l,200.5900,0,0,76.02,27.983,0.0
574,Hg,g,200.5900,61.317,31.820,174.96,20.786,0.0
575,Hg2,g,401.1800,108.8,68.2,288.05,37.40,0.0
576,HgO,cr,216.5894,-90.83,-58.539,70.29,44.06,0.0
577,HgH,g,201.5980,239.32,216.00,219.60,29.96,0.0
578,HgF,g,219.5884,4.2,-17.2,248.56,34.56,0.0
579,HgCl,g,236.0430,84.1,62.7,259.89,36.32,0.0
580,HgI,g,327.4944,132.38,88.42,281.53,37.61,0.0
581,HgI2,g,454.3988,-17.2,-59.9,336.13,61.09,0.0
582,HgS,cr,232.6540,-58.2,-50.6,82.4,48.41,0.0
583,Hg2SO4,cr,497.2416,-743.12,-625.815,200.66,131.96,0.0
584,HgSe,g,279.5500,75.7,31.3,267.13,36.8,0.0
585,Hg(CH3)2,g,230.6604,94.39,146.1,306.,83.3,0.0
586,Cu,cr,63.5400,0,0,33.150,24.435,0.0
587,Cu,g,63.5400,338.32,298.58,166.38,20.786,0.0
588,Cu2,g,127.0800,484.17,431.92,241.57,36.61,0.0
589,CuO,cr,79.5394,-157.3,-129.7,42.63,42.30,0.0
590,Cu2O,cr,143.0794,-168.6,-146.0,93.14,63.64,0.0
591,CuCl,cr,98.9930,-137.2,-119.86,86.2,48.5,0.0
592,CuCl2,cr,134.4460,-220.1,-175.7,108.07,71.88,0.0
593,CuBr,cr,143.4490,-104.6,-100.8,96.11,54.73,0.0
594,CuI,cr,190.4444,-67.8,-69.5,96.7,54.06,0.0
595,CuS,cr,95.6040,-53.1,-53.6,66.5,47.82,0.0
596,Cu2S,cr,159.1440,-79.5,-86.2,120.9,76.32,0.0
597,CuSO4,cr,159.6016,-771.36,-661.8,109.,100.0,0.0
598,CuSO4·H2O,cr,177.6170,-1085.83,-918.11,146.0,134.,0.0
599,CuSO4·3H2O,cr,213.6478,-1684.31,-1399.96,221.3,205.,0.0
600,CuSO4·5H2O,cr,249.6786,-2279.65,-1879.745,300.4,280.,0.0
601,Ag,cr,107.8700,0,0,42.55,25.351,0.0
602,Ag,g,107.8700,284.55,245.65,172.997,20.786,0.0
603,Ag<sup>+</sup>,ao,107.8700,105.579,77.107,72.68,21.8,1.0
604,Ag2,g,215.7400,409.99,358.75,257.13,36.99,0.0
605,Ag2O,cr,231.7394,-31.05,-11.20,121.3,65.86,0.0
606,Ag2O2,cr,247.7388,-24.3,27.6,117.,88.,0.0
607,AgOH,ai,124.8774,-124.415,-80.137,61.92,-126.8,0.0
608,AgF,ai,126.8684,-227.07,-201.69,59.0,-84.9,0.0
609,AgF·2H2O,cr,162.8992,-800.8,-671.0,174.9,130.,0.0
610,AgF·4H2O,cr,198.9300,-1388.3,-1147.0,268.,209.,0.0
611,AgCl,cr,143.1230,-127.068,-109.789,96.2,50.79,0.0
612,AgCl,ai,143.3230,-61.580,-54.120,129.3,-114.6,0.0
613,AgClO2,cr,175.3218,8.79,75.8,134.56,87.32,0.0
614,AgBr,cr,187.7790,-100.37,-96.90,107.1,52.38,0.0
615,AgBr,ai,187.7790,-15.98,-26.86,155.2,-120.1,0.0
616,AgI,cr,234.7744,-61.84,-66.19,115.5,56.82,0.0
617,AgI,ai,234.7744,50.38,25.52,184.1,-120.5,0.0
618,AgIO3,cr,282.7726,-171.1,-93.7,149.4,102.93,0.0
619,Ag2S,cr,247.8040,-32.59,-40.67,144.01,76.53,0.0
620,Ag2SO4,cr,311.8016,-715.88,-618.41,200.4,131.38,0.0
621,Ag2SO4,ai,311.8016,-698.10,-590.30,165.7,-251.,0.0
622,Ag2Se,cr,294.7000,-38.,-44.4,150.71,81.76,0.0
623,Ag2Te,cr,343.3400,-37.2,-43.1,154.8,87.4,0.0
624,AgNO2,cr,153.8755,-45.06,19.13,128.20,80.21,0.0
625,AgNO2,ai,153.8755,0.8,44.8,195.8,-75.7,0.0
626,AgNO3,cr,169.8749,-124.39,-33.41,140.92,93.05,0.0
627,AgNO3,ai,169.8749,-101.80,-34.16,219.2,-64.9,0.0
628,Ag2CO3,cr,275.7494,-505.8,-436.8,167.4,112.26,0.0
629,AgCH3CO2,ai,166.9152,-380.45,-292.21,159.4,15.5,0.0
630,AgCN,cr,133.8879,146.0,156.9,107.19,66.73,0.0
631,AgSCN,cr,165.9519,87.9,101.39,131.0,63.,0.0
632,AgSCN,ai,165.9519,182.00,169.80,217.1,-18.4,0.0
633,Au,cr,196.9670,0,0,47.40,25.418,0.0
634,Au,g,196.9670,366.1,326.3,180.503,20.786,0.0
635,AuH,g,197.9750,295.0,265.7,211.155,29.154,0.0
636,AuSn,cr,315.6570,-30.46,-29.92,97.15,50.46,0.0
637,AuCu,cr,260.5070,-18.66,-18.41,79.9,49.8,0.0
638,AuCu3,cr,387.5870,-28.62,-29.16,149.4,100.4,0.0
639,Ni,cr,58.7100,0,0,29.87,26.07,0.0
640,Ni,g,58.7100,429.7,384.5,182.193,23.359,0.0
641,NiO,cr,74.7094,-239.7,-211.7,37.99,44.31,0.0
642,NiF2,cr,96.7068,-651.4,-604.1,73.60,64.06,0.0
643,NiCl2,cr,129.6160,-305.332,-259.032,97.65,71.67,0.0
644,NiS,cr,90.7740,-82.0,-79.5,52.97,47.11,0.0
645,Ni3S2,cr,240.2580,-202.9,-197.1,133.9,117.65,0.0
646,NiSO4,cr,154.7716,-872.91,-759.7,92.,138.,0.0
647,NiSO4·6H2O,cr,262.8640,-2682.82,-2224.61,334.47,327.86,0.0
648,NiSO4·7H2O,cr,280.8794,-2976.33,-2461.83,378.94,364.59,0.0
649,Ni(CO)4,l,170.7524,-633.0,-588.2,313.4,204.6,0.0
650,Ni(CO)4,g,170.7524,-602.91,-587.23,410.6,145.18,0.0
651,Co,cr,58.9332,0,0,30.04,24.81,0.0
652,Co,g,58.9332,424.7,380.3,179.515,23.020,0.0
653,CoO,cr,74.9326,-237.94,-214.20,52.97,55.23,0.0
654,Co3O4,cr,240.7972,-891.,-774.,102.5,123.4,0.0
655,CoF2,cr,96.9300,-692.0,-647.2,81.96,68.78,0.0
656,CoCl2,cr,129.8392,-312.5,-269.8,109.16,78.49,0.0
657,CoSO4·6H2O,cr,263.0872,-2683.6,-2235.36,367.61,353.38,0.0
658,CoSO4·7H2O,cr,281.1026,-2979.93,-2473.42,406.06,390.49,0.0
659,(Co(NH3)5Cl)Cl2,cr,250.4457,-1017.1,-582.5,366.1,239.3,0.0
660,(Co(NH3)5H2O)Cl3,cr,268.4611,-1287.8,-777.8,346.0,275.7,0.0
661,(Co(NH3)6)Br3,cr,400.8444,-1002.9,-500.9,325.1,326.8,0.0
662,CoSi,cr,87.0192,-100.4,-98.7,43.1,44.4,0.0
663,Fe,cr,55.8470,0,0,27.28,25.10,0.0
664,Fe,g,55.8470,416.3,370.7,180.490,25.677,0.0
665,FeO0.947O,cr,68.8865,-266.27,-245.12,57.49,48.12,0.0
666,Fe2O3,cr,159.6922,-824.2,-742.2,87.40,103.85,0.0
667,Fe3O4,cr,231.5386,-1118.4,-1015.4,146.4,143.43,0.0
668,FeF2,cr,93.8438,-711.3,-668.6,86.99,68.12,0.0
669,FeCl2,cr,126.7530,-341.79,-302.30,117.95,76.65,0.0
670,FeCl3,cr,162.2060,-399.49,-334.00,142.3,96.65,0.0
671,Fe1.000S,cr,87.9110,-100.0,-100.4,60.29,50.54,0.0
672,FeS2,cr,119.9750,-178.2,-166.9,52.93,62.17,0.0
673,Fe7S8,cr,647.4410,-736.4,-748.5,485.8,398.57,0.0
674,FeSO4,cr,151.9086,-928.4,-820.8,107.5,100.58,0.0
675,FeSO4·7H2O,cr,278.0164,-3014.57,-2509.87,409.2,394.47,0.0
676,FePO4·2H2O,cr,186.8492,-1888.2,-1657.5,171.25,180.54,0.0
677,Fe3C,cr,179.5522,25.1,20.1,104.6,105.9,0.0
678,FeCO3,cr,115.8564,-740.57,-666.67,92.9,82.13,0.0
679,Fe(CO)5,l,195.9000,-774.0,-705.3,338.1,240.6,0.0
680,FeSi,cr,83.9330,-73.6,-73.6,46.0,47.7,0.0
681,FeSi2,cr,112.0190,-81.2,-78.2,55.6,66.07,0.0
682,FeSi2.33,cr,121.2874,-59.,-59.,69.5,73.72,0.0
683,Fe3Si,cr,195.6270,-93.7,-94.6,103.8,98.32,0.0
684,Fe2SiO4,cr,203.7776,-1479.9,-1379.0,145.2,132.88,0.0
685,FeAl2O4,cr,173.8076,-1995.3,-1879.8,106.3,123.55,0.0
686,ZnFe2O4,cr,241.0616,-1169.4,-1063.5,151.67,142.97,0.0
687,CuFeO2,cr,151.3858,-532.6,-479.9,88.7,80.04,0.0
688,CuFe2O4,cr,239.2316,-965.21,-858.74,141.0,148.62,0.0
689,NiFe2O4,cr,234.4016,-1081.1,-973.1,131.8,145.60,0.0
690,CoFe2O4,cr,234.6248,-1139.7,-1032.5,134.7,152.84,0.0
691,Pd,cr,106.4000,0,0,37.57,25.98,0.0
692,Pd,g,106.4000,378.2,339.7,167.05,20.786,0.0
693,Rh,cr,102.9050,0,0,31.51,24.98,0.0
694,Rh,g,102.9050,556.9,510.8,185.808,21.012,0.0
695,Ru,cr,101.0700,0,0,28.53,24.06,0.0
696,Ru,g,101.0700,642.7,595.8,186.507,21.522,0.0
697,RuO4,g,165.0676,-184.1,-139.7,290.1,75.90,0.0
698,Pt,cr,195.0900,0,0,41.63,25.86,0.0
699,Pt,g,195.0900,565.3,520.5,192.406,25.531,0.0
700,PtS,cr,227.1540,-81.6,-76.1,55.06,43.39,0.0
701,PtS2,cr,259.2180,-108.8,-99.6,74.68,65.90,0.0
702,Ir,cr,192.2000,0,0,35.48,25.10,0.0
703,Ir,g,192.2000,665.3,617.9,193.578,20.786,0.0
704,IrF6,g,306.1904,-544.,-460.,357.8,121.08,0.0
705,Os,cr,190.2000,0,0,32.6,24.7,0.0
706,Os,g,190.2000,791.,745.,192.573,20.786,0.0
707,OsO4,g,254.1976,-337.2,-292.8,293.8,74.1,0.0
708,Mn,cr,54.9380,0,0,32.01,26.32,0.0
709,Mn,cr3,54.9380,1.55,1.42,32.43,27.57,0.0
710,Mn,g,54.9380,280.7,238.5,173.70,20.79,0.0
711,Mn<sup>2+</sup>,ao,54.9380,-220.75,-228.1,-73.6,50.,2.0
712,MnO,cr,70.9374,-385.22,-362.90,59.71,45.44,0.0
713,MnO2,cr,86.9368,-520.03,-465.14,53.05,54.14,0.0
714,MnO4<sup>-</sup>,ao,118.9356,-541.4,-447.2,191.2,-82.0,-1.0
715,Mn2O3,cr,157.8742,-959.0,-881.1,110.5,107.65,0.0
716,Mn3O4,cr,228.8116,-1387.8,-1283.2,155.6,139.66,0.0
717,MnCl2,cr,125.8440,-481.29,-440.50,118.24,72.93,0.0
718,MnCl2,ai,125.8440,-555.05,-490.8,38.9,-222.,0.0
719,MnS,cr,87.0020,-214.2,-218.4,78.2,49.96,0.0
720,MnSO4,cr,150.9996,-1065.25,-957.36,112.1,100.50,0.0
721,MnSO4,ai,150.9996,-1130.1,-972.7,-53.6,-243.,0.0
722,MnSe,cr,133.8980,-106.7,-111.7,90.8,51.04,0.0
723,Mn(NO3)2,ai,178.9478,-635.5,-450.9,218.,-121.,0.0
724,Mn3C,cr,176.8252,4.6,5.4,98.7,93.43,0.0
725,MnCO3,cr,114.9474,-894.1,-816.7,85.8,81.50,0.0
726,MnSiO3,cr,131.0222,-1320.9,-1240.5,89.1,86.44,0.0
727,Mn2SiO4,cr,201.9596,-1730.5,-1632.1,163.2,129.87,0.0
728,Re,cr,186.2000,0,0,36.86,25.48,0.0
729,Re,g,186.2000,769.9,724.6,188.938,20.786,0.0
730,ReO4<sup>-</sup>,ao,250.1976,-787.4,-694.5,201.3,-13.4,-1.0
731,Re2O7,cr,484.3958,-1240.1,-1066.0,207.1,166.1,0.0
732,HReO4,ai,251.2056,-787.4,-694.5,201.3,-13.4,0.0
733,ReCl3,cr,292.5590,-264.,-188.,123.8,92.38,0.0
734,Cr,cr,51.9960,0,0,23.77,23.35,0.0
735,Cr,g,51.9960,396.6,351.8,174.50,20.79,0.0
736,Cr2O3,cr,151.9902,-1139.7,-1058.1,81.2,118.74,0.0
737,CrF3,cr,108.9912,-1159.,-1088.,93.89,78.74,0.0
738,CrCl2,cr,122.9020,-395.4,-356.0,115.31,71.17,0.0
739,CrCl3,cr,158.3550,-556.5,-486.1,123.0,91.80,0.0
740,CrO2Cl2,g,154.9008,-538.1,-501.6,329.8,84.5,0.0
741,Cr3C2,cr,180.0104,-80.8,-81.6,85.44,98.45,0.0
742,Cr7C3,cr,400.0056,-161.9,-166.9,200.8,208.87,0.0
743,Cr23C6,cr,1267.9752,-364.8,-373.6,610.0,624.3,0.0
744,Ag2CrO4,cr,331.7336,-731.74,-641.76,217.6,142.26,0.0
745,FeCr2O4,cr,223.8366,-1444.7,-1343.8,146.0,133.64,0.0
746,Mo,cr,95.9400,0,0,28.66,24.06,0.0
747,Mo,g,95.9400,658.1,612.5,181.950,20.786,0.0
748,MoO2,cr,127.9388,-588.94,-533.01,46.28,55.98,0.0
749,MoO3,cr,143.9382,-745.09,-667.97,77.74,74.98,0.0
750,MoF6,l,209.9304,-1585.53,-1473.00,259.66,169.79,0.0
751,MoF6,g,209.9304,-1557.66,-1472.20,350.52,120.58,0.0
752,MoS2,cr,160.0680,-235.1,-225.9,62.59,63.55,0.0
753,Mo(CO)6,cr,264.0036,-982.8,-877.7,325.9,242.25,0.0
754,Mo(CO)6,g,264.0036,-912.1,-856.0,490.,205.,0.0
755,Mo3Si,cr,315.9060,-96.,-96.,106.3,93.43,0.0
756,PbMoO4,cr,367.1276,-1051.9,-951.4,166.1,119.70,0.0
757,FeMoO4,cr,215.7846,-1075.,-975.,129.3,118.45,0.0
758,W,cr,183.8500,0,0,32.64,24.27,0.0
759,W,g,183.8500,849.4,807.1,173.950,21.309,0.0
760,WO2,cr,215.8488,-589.69,-533.89,50.54,56.11,0.0
761,WO3,cr,231.8482,-842.87,-764.03,75.90,73.76,0.0
762,WF6,g,297.8404,-1721.7,-1632.1,341.06,119.03,0.0
763,FeWO4,cr,303.6946,-1155.,-1054.,131.8,114.60,0.0
764,V,cr,50.9420,0,0,28.91,24.89,0.0
765,V,g,50.9420,514.21,754.43,182.298,26.012,0.0
766,VO,cr,66.9414,-431.8,-404.2,38.9,45.44,0.0
767,VO,g,66.9414,105.,75.,233.6,30.5,0.0
768,V2O3,cr,149.8822,-1218.8,-1139.3,98.3,103.22,0.0
769,V2O4,cr,165.8816,-1427.2,-1318.3,102.5,116.98,0.0
770,V2O5,cr,181.8810,-1550.6,-1419.5,131.0,127.65,0.0
771,VF5,g,145.9340,-1433.9,-1369.8,320.90,98.58,0.0
772,VCl2,cr,121.8480,-452.,-406.,97.1,72.22,0.0
773,VCl3,cr,157.3010,-580.7,-511.2,131.0,93.18,0.0
774,VCl4,g,192.7540,-525.5,-492.0,362.4,96.2,0.0
775,VOCl3,g,173.3004,-695.59,-659.28,344.29,89.91,0.0
776,VN,cr,64.9487,-217.1,-191.2,37.28,37.99,0.0
777,NH4VO3,cr,116.9789,-1053.1,-888.1,140.6,129.33,0.0
778,VC0.88,cr,61.5119,-101.7,-99.2,25.9,32.05,0.0
779,Nb,cr,92.9060,0,0,36.40,24.60,0.0
780,Nb,g,92.9060,725.9,681.1,186.256,30.158,0.0
781,NbO,cr,108.9054,-405.8,-378.6,48.1,41.25,0.0
782,NbO,g,108.9054,213.,184.,238.97,30.79,0.0
783,NbO2,cr,124.9048,-796.2,-740.5,54.52,57.49,0.0
784,Nb2O5,cr,265.8090,-1899.5,-1766.0,137.24,132.09,0.0
785,NbF5,cr,187.8980,-1813.8,-1699.0,160.2,134.7,0.0
786,NbF5,g,187.8980,-1739.7,-1673.6,321.9,97.1,0.0
787,NbCl5,cr,270.1710,-797.5,-683.2,210.5,148.1,0.0
788,NbCl5,g,270.1710,-703.7,-646.0,400.56,120.83,0.0
789,NbOCl3,g,215.2644,-752.3,-717.9,358.3,92.0,0.0
790,NbN,cr,106.9127,-235.1,-205.8,34.52,38.99,0.0
791,NbC,cr,104.9172,-138.9,-136.8,35.40,36.86,0.0
792,Nb2C,cr,197.8232,-190.0,-185.8,64.0,60.58,0.0
793,NbFe2,cr,204.6000,-46.4,-49.4,100.,54.4,0.0
794,NbCr2,cr,196.8980,-20.9,-20.9,83.55,73.01,0.0
795,Ta,cr,180.9480,0,0,41.51,25.36,0.0
796,Ta,g,180.9480,782.0,739.3,185.214,20.857,0.0
797,TaO,g,196.9474,251.,222.,241.1,30.59,0.0
798,TaO2,g,212.9468,-172.,-180.,268.,52.3,0.0
799,Ta2O5,cr,441.8930,-2046.0,-1911.2,143.1,135.14,0.0
800,Ta2H,cr,362.9040,-32.6,-69.0,79.1,90.8,0.0
801,TaC,cr,192.9592,-146.4,-144.8,42.30,36.78,0.0
802,Ti,cr,47.9000,0,0,30.63,25.02,0.0
803,Ti,g,47.9000,469.9,425.1,180.298,24.430,0.0
804,TiO,cr,63.8994,-519.7,-495.0,50.,39.96,0.0
805,TiO,g,63.8994,17.,-13.,234.4,32.68,0.0
806,TiO2,cr,79.8988,-939.7,-884.5,49.92,55.48,0.0
807,TiO2,cr3,79.8988,-944.7,-889.5,50.33,55.02,0.0
808,Ti2O3,cr,143.7982,-1520.9,-1434.2,78.78,97.36,0.0
809,Ti3O5,cr,223.6970,-2459.4,-2317.4,129.3,154.81,0.0
810,TiH2,cr,49.9160,-119.7,-80.3,29.7,30.1,0.0
811,TiF4,am,123.8936,-1649.3,-1559.3,133.97,114.27,0.0
812,TiCl2,cr,118.8060,-513.8,-464.4,87.4,69.83,0.0
813,TiCl3,cr,154.2590,-720.9,-653.5,139.7,97.15,0.0
814,TiCl4,l,189.7120,-804.2,-737.2,252.34,145.18,0.0
815,TiCl4,g,189.7120,-763.2,-726.7,354.9,95.4,0.0
816,TiBr3,cr,287.6270,-548.5,-523.8,176.6,101.71,0.0
817,TiBr4,cr,367.5360,-616.7,-589.5,243.5,131.50,0.0
818,TiBr4,g,367.5360,-549.4,-568.2,398.4,100.8,0.0
819,TiI4,cr,555.5176,-375.7,-371.5,249.4,125.65,0.0
820,TiN,cr,61.9067,-338.1,-309.6,30.25,37.07,0.0
821,TiC,cr,59.9112,-184.5,-180.7,24.23,33.64,0.0
