,Formula,State,Molar Mass,deltaH0,deltaG0,S0,Cp,Charge
1352,NaOCH3,cr,54.0244,-367.8,-294.74,110.58,69.45,0.0
1353,NaCH3CO2,cr,82.0350,-708.81,-607.18,123.0,79.9,0.0
1354,NaCH3CO2,ai,82.0350,-726.13,-631.20,145.6,40.2,0.0
1355,NaCN,cr,49.0077,-87.49,-76.43,115.60,70.37,0.0
1356,NaCN,g,49.0077,109.,79.94,249.43,51.17,0.0
1357,NaCNO,cr,65.0071,-405.39,-358.1,96.7,86.6,0.0
1358,NaCNS,ai,81.0717,-163.68,-169.18,203.3,6.3,0.0
1359,Na2SiF6,cr,188.0560,-2909.6,-2754.2,207.1,187.07,0.0
1360,NaBO2,cr,65.7996,-977.0,-920.70,73.51,65.94,0.0
1361,NaBO2,g,65.7996,-644.,-653.,287.1,58.2,0.0
1362,Na2B4O7,cr,201.2194,-3291.1,-3096.0,189.54,186.77,0.0
1363,Na2B4O7·10H2O,cr,381.3734,-6288.6,-5516.0,586.,615.,0.0
1364,NaBH4,cr,37.8328,-188.61,-123.86,101.29,86.78,0.0
1365,NaBF4,cr,109.7944,-1844.7,-1750.10,145.31,120.25,0.0
1366,NaAlO2,cr,81.9701,-1135.12,-1071.32,70.71,73.30,0.0
1367,NaAlF4,g,125.9649,-1869.0,-1827.5,345.7,105.9,0.0
1368,Na3AlF6,cr,209.9413,-3301.2,-3136.6,238.5,215.89,0.0
1369,NaAlSi2O6,cr2,202.1397,-2985.3,-2819.1,175.3,164.43,0.0
1370,NaAlSi2O6·H2O,cr,220.1551,-3300.8,-3082.6,234.3,209.91,0.0
1371,NaAlSi3O8,cr,262.2245,-3935.1,-3711.5,207.40,205.10,0.0
1372,NaAlSi3O8,cr2,262.2245,-3925.8,-3708.1,226.40,204.81,0.0
1373,NaAlSi3O8,am,262.2245,-3875.2,-3665.1,251.9,209.91,0.0
1374,NaCu,g,86.5298,272.,225.9,238.2,36.23,0.0
1375,NaAg,g,130.8598,253.6,208.3,245.7,36.44,0.0
1376,NaAu,g,219.9568,258.6,212.9,251.1,35.82,0.0
1377,NaReO4,cr,273.1874,-1057.09,-953.68,151.5,133.9,0.0
1378,NaReO4,ai,273.1874,-1027.6,-956.4,260.2,33.1,0.0
1379,Na2CrO4,cr,161.9732,-1342.2,-1234.93,176.61,142.13,0.0
1380,Na2MoO4,cr,205.9172,-1468.12,-1354.34,159.70,141.71,0.0
1381,Na2Mo2O7,cr,349.8554,-2245.05,-2058.08,250.6,217.15,0.0
1382,Na2WO4,cr,293.8272,-1548.9,-1434.46,161.5,139.79,0.0
1383,Na2W2O7,cr,525.6754,-2405.0,-2216.74,254.4,214.89,0.0
1384,NaVO3,cr,121.9300,-1145.79,-1064.07,113.68,97.57,0.0
1385,Na3VO4,cr,183.9090,-1757.87,-1637.76,190.0,164.85,0.0
1386,Na4V2O7,cr,305.8390,-2918.84,-2721.41,318.4,269.74,0.0
1387,Na2TiO3,cr,141.8778,-1591.2,-1496.1,121.67,125.65,0.0
1388,Na2UO4,cr,348.0062,-1893.3,-1777.72,166.02,146.65,0.0
1389,Na3UO4,cr,370.9960,-2025.1,-1901.1,198.20,173.01,0.0
1390,K,cr,39.1020,0,0,64.18,29.58,0.0
1391,K,g,39.1020,89.24,60.59,160.336,20.786,0.0
1392,K<sup>+</sup>,ao,39.1020,-252.38,-283.27,102.5,21.8,1.0
1393,K2,g,78.2040,123.7,87.5,249.73,37.89,0.0
1394,KO2,cr,71.1008,-284.93,-239.4,116.7,77.53,0.0
1395,KH,g,40.1100,130.,113.,192.41,31.049,0.0
1396,KD,g,41.1161,133.1,114.6,198.93,32.840,0.0
1397,KOH,cr,56.1094,-424.764,-379.08,78.9,64.9,0.0
1398,KOH,g,56.1094,-231.0,-232.6,238.3,49.20,0.0
1399,KOH,ai,56.1094,-482.37,-440.50,91.6,-126.8,0.0
1400,K2(OH)2,g,112.2188,-656.5,-615.8,328.1,81.6,0.0
1401,KF,cr,58.1004,-567.27,-537.75,66.57,49.04,0.0
1402,KF,g,58.1004,-325.43,-343.62,226.41,35.23,0.0
1403,KF,ai,58.1004,-585.01,-562.06,88.7,-84.9,0.0
